passed: 200 ms, number of primes: 11294, number of iterations 27301903
passed: 400 ms, number of primes: 19828, number of iterations 69294449
passed: 600 ms, number of primes: 26501, number of iterations 111947771
passed: 800 ms, number of primes: 33608, number of iterations 165263851
passed: 1001 ms, number of primes: 40361, number of iterations 223243837
passed: 1201 ms, number of primes: 46817, number of iterations 284968582
passed: 1401 ms, number of primes: 53294, number of iterations 352332439
passed: 1601 ms, number of primes: 59487, number of iterations 421501365
passed: 1801 ms, number of primes: 65419, number of iterations 492337572
passed: 2001 ms, number of primes: 71226, number of iterations 565522583
passed: 2201 ms, number of primes: 76824, number of iterations 640080633
passed: 2401 ms, number of primes: 82301, number of iterations 716188671
passed: 2601 ms, number of primes: 87590, number of iterations 792838705
passed: 2801 ms, number of primes: 92814, number of iterations 870464139
passed: 3001 ms, number of primes: 97940, number of iterations 950526374
passed: 3201 ms, number of primes: 103153, number of iterations 1034550061
passed: 3401 ms, number of primes: 108135, number of iterations 1117045341
passed: 3601 ms, number of primes: 113114, number of iterations 1201730300
passed: 3801 ms, number of primes: 117966, number of iterations 1286828679
passed: 4001 ms, number of primes: 122805, number of iterations 1374135663
passed: 4201 ms, number of primes: 127590, number of iterations 1462006746
passed: 4401 ms, number of primes: 132284, number of iterations 1550294107
passed: 4601 ms, number of primes: 136956, number of iterations 1640628449
passed: 4801 ms, number of primes: 141644, number of iterations 1731990661
passed: 5001 ms, number of primes: 146306, number of iterations 1825417997
passed: 5201 ms, number of primes: 150823, number of iterations 1917436649
passed: 5401 ms, number of primes: 155284, number of iterations 2010598163
passed: 5601 ms, number of primes: 159715, number of iterations 2104479649
passed: 5801 ms, number of primes: 164056, number of iterations 2198325567
passed: 6001 ms, number of primes: 168461, number of iterations 2294253922
passed: 6201 ms, number of primes: 172721, number of iterations 2390041049
passed: 6401 ms, number of primes: 176961, number of iterations 2485987649
passed: 6601 ms, number of primes: 181264, number of iterations 2584924970
passed: 6802 ms, number of primes: 185528, number of iterations 2683798099
passed: 7002 ms, number of primes: 189735, number of iterations 2783034729
passed: 7202 ms, number of primes: 193854, number of iterations 2881411851
passed: 7402 ms, number of primes: 197934, number of iterations 2980102112
passed: 7602 ms, number of primes: 201922, number of iterations 3078478994
passed: 7802 ms, number of primes: 206008, number of iterations 3178850960
passed: 8002 ms, number of primes: 210026, number of iterations 3280542699
passed: 8202 ms, number of primes: 213998, number of iterations 3382082287
passed: 8402 ms, number of primes: 218059, number of iterations 3486191019
passed: 8602 ms, number of primes: 222062, number of iterations 3591199375
passed: 8802 ms, number of primes: 225978, number of iterations 3693709148
passed: 9002 ms, number of primes: 229894, number of iterations 3797605944
passed: 9202 ms, number of primes: 233819, number of iterations 3901809331
passed: 9402 ms, number of primes: 237649, number of iterations 4005912701
passed: 9602 ms, number of primes: 241456, number of iterations 4111632238
passed: 9802 ms, number of primes: 245280, number of iterations 4216202588
