passed: 200 ms, number of primes: 20361, number of iterations 72440240
passed: 401 ms, number of primes: 34186, number of iterations 170105369
passed: 601 ms, number of primes: 44294, number of iterations 260031109
passed: 801 ms, number of primes: 53976, number of iterations 359722065
passed: 1001 ms, number of primes: 62448, number of iterations 456476934
passed: 1201 ms, number of primes: 70596, number of iterations 557327077
passed: 1407 ms, number of primes: 78258, number of iterations 660071443
passed: 1607 ms, number of primes: 85632, number of iterations 764229565
passed: 1807 ms, number of primes: 94094, number of iterations 890447328
passed: 2007 ms, number of primes: 102221, number of iterations 1019366015
passed: 2207 ms, number of primes: 110219, number of iterations 1152205599
passed: 2407 ms, number of primes: 117883, number of iterations 1285229891
passed: 2607 ms, number of primes: 125309, number of iterations 1419729853
passed: 2807 ms, number of primes: 132567, number of iterations 1556080005
passed: 3007 ms, number of primes: 139587, number of iterations 1691656100
passed: 3207 ms, number of primes: 146497, number of iterations 1829230272
passed: 3407 ms, number of primes: 153246, number of iterations 1967958981
passed: 3607 ms, number of primes: 159876, number of iterations 2107874108
passed: 3807 ms, number of primes: 166368, number of iterations 2249125082
passed: 4007 ms, number of primes: 172750, number of iterations 2390689769
passed: 4207 ms, number of primes: 179161, number of iterations 2536820124
passed: 4407 ms, number of primes: 185238, number of iterations 2677466588
passed: 4607 ms, number of primes: 191311, number of iterations 2820543340
passed: 4807 ms, number of primes: 197322, number of iterations 2965128811
passed: 5007 ms, number of primes: 203220, number of iterations 3111034936
passed: 5207 ms, number of primes: 209115, number of iterations 3257520767
passed: 5407 ms, number of primes: 214814, number of iterations 3403017628
passed: 5607 ms, number of primes: 220478, number of iterations 3549897941
passed: 5807 ms, number of primes: 226116, number of iterations 3697417309
passed: 6008 ms, number of primes: 231703, number of iterations 3844878718
passed: 6208 ms, number of primes: 237215, number of iterations 3994213911
passed: 6408 ms, number of primes: 242609, number of iterations 4142839133
passed: 6608 ms, number of primes: 247989, number of iterations 4291539559
passed: 6808 ms, number of primes: 253258, number of iterations 4443118250
passed: 7008 ms, number of primes: 258535, number of iterations 4592379633
passed: 7208 ms, number of primes: 263732, number of iterations 4742426320
passed: 7408 ms, number of primes: 268882, number of iterations 4893175422
passed: 7608 ms, number of primes: 274081, number of iterations 5046443102
passed: 7808 ms, number of primes: 279206, number of iterations 5199815328
passed: 8008 ms, number of primes: 284148, number of iterations 5350435089
passed: 8208 ms, number of primes: 289075, number of iterations 5500195379
passed: 8408 ms, number of primes: 293951, number of iterations 5651396417
passed: 8608 ms, number of primes: 298789, number of iterations 5801968263
passed: 8808 ms, number of primes: 303576, number of iterations 5954176083
passed: 9008 ms, number of primes: 308424, number of iterations 6108909867
passed: 9208 ms, number of primes: 313211, number of iterations 6261157722
passed: 9408 ms, number of primes: 318027, number of iterations 6417563838
passed: 9608 ms, number of primes: 322808, number of iterations 6573904927
passed: 9808 ms, number of primes: 327491, number of iterations 6729153026
