passed: 201 ms, number of primes: 18201
passed: 402 ms, number of primes: 30711
passed: 602 ms, number of primes: 42798
passed: 802 ms, number of primes: 53663
passed: 1002 ms, number of primes: 63803
passed: 1202 ms, number of primes: 73125
passed: 1402 ms, number of primes: 81467
passed: 1602 ms, number of primes: 89951
passed: 1802 ms, number of primes: 98072
passed: 2002 ms, number of primes: 104970
passed: 2202 ms, number of primes: 112287
passed: 2402 ms, number of primes: 119586
passed: 2602 ms, number of primes: 124665
passed: 2802 ms, number of primes: 129770
passed: 3002 ms, number of primes: 135360
passed: 3202 ms, number of primes: 141002
passed: 3402 ms, number of primes: 146021
passed: 3602 ms, number of primes: 152266
passed: 3802 ms, number of primes: 158009
passed: 4002 ms, number of primes: 163570
passed: 4202 ms, number of primes: 167822
passed: 4402 ms, number of primes: 173097
passed: 4602 ms, number of primes: 179384
passed: 4803 ms, number of primes: 185287
passed: 5003 ms, number of primes: 191367
passed: 5203 ms, number of primes: 197405
passed: 5403 ms, number of primes: 203349
passed: 5603 ms, number of primes: 209115
passed: 5803 ms, number of primes: 214910
passed: 6003 ms, number of primes: 220627
passed: 6203 ms, number of primes: 226306
passed: 6403 ms, number of primes: 231794
passed: 6603 ms, number of primes: 236682
passed: 6803 ms, number of primes: 240502
passed: 7003 ms, number of primes: 245045
passed: 7203 ms, number of primes: 250250
passed: 7403 ms, number of primes: 255508
passed: 7603 ms, number of primes: 260642
passed: 7803 ms, number of primes: 265758
passed: 8003 ms, number of primes: 270757
passed: 8203 ms, number of primes: 275722
passed: 8403 ms, number of primes: 280532
passed: 8603 ms, number of primes: 285434
passed: 8803 ms, number of primes: 290323
passed: 9003 ms, number of primes: 295209
passed: 9204 ms, number of primes: 299901
passed: 9404 ms, number of primes: 302862
passed: 9604 ms, number of primes: 307463
passed: 9804 ms, number of primes: 312242
